text,target
"Самокатающиеся шары с ворсом на батарейках! Должны были собирать пыль. И действительно теперь собирают пыль, но не на полу, а на полке 😂",Negative
"знаю я девочку, которая покупает шмотки, надевает 1 раз, потом возвращает регулярно)

а есть ещё лайфхак от неё, купил вещь, через неделю увидел её же со скидкой, сдал, и снова купил)) один раз тоже так делала) постоянно лень морочиться, конечно",Negative
"столько было обмана с этими риелторами, надеюсь больше не наткнусь на них",Negative
А что он не рассказал как в марте 22 он 3 раза за месяц цены поднял? Крем который стоил 800 стал 1600..,Negative
"Жесть,не думала,что так много россиян и вправду не имеет загранпаспорта. Очень интересные данные",Negative
"Откуда это вылезло из 90х?
Я конечно слышал что 90е вернутся, но комон...",Negative
"Помню дефолт. Бутылка масла Идеал стоила 9 рублей, а стала стоить 60 рублей. Так и с остальными товарами, так как все было привязано к доллару. Кроме зарплаты.",Negative
"Ну вообще это индивидуально для каждой семьи, кто-то прям кайфует от материнства и большая семья не в тяжесть, а в радость. Кому-то наоборот одного ребенка хватает. Но главный вопрос это вопрос финансов и времени.",Neutral
"Samsung
Тизен пушка, оперативки бы им побольше и слот под карту памяти",Neutral
"Люблю свой Город. Благодарю Вас за статью. Славная Столица Кубани живи и процветай. Кстати живу на Гидрострое на Снесарева. Рядом у нас тоже рыночек имеется, и особенно в выходные дни там свою свежую продукцию представляют местные (из близ лежайших огородных хозяйств и частные предприниматели.)",Positive
Подскажите пожалуйста что делать? Бывшая жена не хочет принимать участие в выделении долей. Квартира взята в ипотеку с мат капиталом в браке. Мы развелись 3 года назад. На данный момент я выплатил ипотеку и нужно выделить доли. Можно ли как то выделить доли без её участия?,Neutral
"Меня больше вымораживают выгодные условия тарифов только  для новых клиентов, получается на старых им плевать, они итак уже платят, а новым мы предложим лучшие условия. Могу ли я в этом случае законно потребовать оформление тарифа на условиях нового клиентам если уже являюсь клиентом?",Negative
"75. Что-то про пульты в пакете и деньги под матрасом. Но это полная противоположность тому, что я отвечала 🤔",Neutral
"А вы в 2012 году решили, что напишите в 2022 статью?
Специально фактуру по затратам собирали?",Neutral
"Если свидание не первое или первое, но с надеждой, что не последнее, то можно договориться платить по очереди. В этот раз один, в следующий другая(другой).",Neutral
"Полярный прям зашел

Худшие - мылодрама (при всем своем кринже и гиперболизации все равно говно), из старого папины дочки, моя прекрасная няня",Negative
"""Как показала практика, дизайнеры обычно до таких мелочей не добираются. ""

хорошие_дизайнеры - добираются и не до таких. но это не полторы тыщи за метр, конечно",Neutral
"У нас в РФ со всем так,с декретными 1,5 года тоже 40% но не более 29000 руб, сколько бы ты не зарабатывали,а соответственно работодатель платит в соц страх со всей зп без ограничений",Neutral
"Небольшая поправочка: Податься на гражданство в любом случае можно только через 5 лет проживания в Нидерландах, даже если замужем за голландцем. Другими словами, да, прожить с ним/ней нужно не менее 3-х лет, но это не отменяет необходимости жить в Нидерландах 5 лет в целом.",Negative
"Красный Просвещенец. Летом там такая зелень, заповедник атмосферы 30х годов, жаль увядает",Neutral
"Практически все квизы и викторины к интеллекту имеют очень мало отношения, если вообще имеют. Это как-то больше про эрудицию: умение хранить в голове и доставать в правильный момент кучу никому не нужной информации. Скучно, примерно как сканворды...",Negative
"Здравствуйте! Подскажите пожалуйста, если пособие уже назначено, но позже я потеряла работу, продолжит ли ПФР выплачивать пособие, которое назначили с апреля 2022.",Neutral
"Bapteme du feu — чувствую ноты дыма, смолы, дерева, почему-то особенно явственно эти ноты проступают в сильный мороз.",Neutral
"""В России популярны солнцезащитные очки, которые дешевле в производстве и не требуют сертификации"" - солнцезащитные очки подлежат обязательному декларированию, требуется Декларация о соответствии согласно ГОСТ Р. И еще вопрос: как Вы поставляете линзы и проверяете их потребительские свойства?",Neutral
"Сравнить цены в авиасейлс и в приложении Тинькофф то Авиасейлс дешевле процентов на 20. Так что ,не надо тут антирекламу устраивать",Neutral
"По тесту идеально подхожу, но всё-таки нет :)

Плохое зрение - тоже противопоказание",Negative
"Замечательный обзор про Родной город, спасибо. Но про спорт ... ""не зачет"". Кроме Ротора, есть женская команда по гандболу, мужская по водному поло, сильное плавание и легкая атлетика (Исинбаеву вспомнили, а про Попова, да и др. чемпионов ...)",Positive
"Я сдала 84раза нет никаких льгот, кроме выплаты раз в год. До сих пор активный донор.",Neutral
"С детства носил классические часы, были электронные CASIO G-Shock. 9 лет назад купил Apple Watch с тех пор не могу от них отказаться. Два года назад купил опять классические, в этом году продал, не носил.",Neutral
"У меня с едой отличные отношения - кушаю с удовольствием))
Пойду резать и запекать овощи в духовке...",Positive
"Интересный проект! Привлекает гармоничное слияние с ландшафтом) Мечтаю сделать на своей ферме туристическую составляющую, иду к этому с другого конца) Сейчас выращиваем органические ягоды и овощи. Расположение фермы великолепное с точки зрения природы и транспортной доступности. Агротуризм, прямо напрашивается) Будем наблюдать за вашим опытом, выглядит очень привлекательно!",Positive
"Египет,и Каир в частности, чертовски отстойное место на земле. Люди ходят с пакетами с Гитлером - их кумир, 4 светофора на город, разруха и треш. Больше туда ни ногой, лучше куда-нибудь в Нигерию или Чад",Negative
"Сумбур этого текста оправдан только тем, что автору 20 лет
В остальном- без комментариев",Negative
"Просто вам достался папаша-праздник. Штош, у кого-то не было и такого)",Negative
"Наверное автор не имеет семьи. 30 т р в месяц тратить на одного на жрачку, да еще в обще пите.!?",Negative
"По дневнику трат, думала, что девушка была инициатором развода, а не вы)",Neutral
"Увеличится доходность и немного увеличится риск. Обычно консервативный портфель имеет в своём составе 10% акций, т.к. выглядит лучше с точки зрения профиля риск/доходность",Neutral
"Вау! Алеся, вы просто герои! Здорово, что таким дружным семейством осуществляете свою мечту. Главное сохраняйте этот запал, и все получится).
Хотя траты конечно кошмарики))",Positive
"Тут и думать нечего, идеальный вариант давно известен:
Если сын - нужно постараться обеспечить квартирой, что бы было куда бабу привести.
Если дочка - наоборот пусть ищет мужика с квартирой, а иначе зачем такой зятек вообще нужен?
На машину, дачу, айфоны и пр. пусть копят сами.",Negative
"Не очень понятно, в чём противопоставление. Лучше помогать конкретным волонтёрам, чем приютам? Нет, пост не про это. Как-то бессодержательно.",Neutral
"Здравствуйте, если площадь квартиры 100,7, то под критерии мы не попадаем? Прописано 4 человека",Neutral
"По мне так наоборот - фильм снят лишь для того, чтобы раздеть актрису.",Negative
"У меня подруга упала на эскалаторе, жутко после этого случая их боится",Negative
"По мне так шо,обеспечивать священника жильем и прочими вещами должен бог",Neutral
"Господи, да конечно лучше! Как будто тут вообще может быть 2 мнения! Кот лучше всего! Его как будто слепили ангелы! Кот!! Вот фото - шах и мат собачникам:",Positive
"Добрый день, подскажите пожалуйста, мы получаем пособие на первого ребенка, а на второго тоже можем, но из средств мат.капитала, а если его у нас нет, то из каких средств начисляются деньги?",Neutral
"А мне понравилось, как написано, круто будет,если автор еще напишет что-то о своей жизни, как в вуз поступали, как свадьбу сыграли. я серьезно",Positive
"a very good article, thank you. And for all those smart arses commenting it from a negative side - why wouldn't you write a better one yourself?!",Positive
"Если вы сейчас бегаете 5 км, не надо вам к зиме никакой полумарафон, или, упаси, марафон. Слишком рано.",Neutral
"Не бесит, что образование бесплатное? И не вспоминаете, что это наследие Советских времён. Отправьте детей в частную школу, зачем вам учить детей советским наследием",Neutral
Мои впечатления от экскурсии к пирамидам совсем другие. И цена была копеечная.,Positive
"Я бы даже сказала так: никогда не покупайте стеклянный стол на кухню, особенно, если у вас есть дети.",Negative
"А что за статья-то? В тексте вы несколько раз упоминаете статью, как бы комментируя ее, но непонятно, где почитать саму статью",Negative
"Длительные голодания могут приводить к камням в желчном пузыре, а голодание без воды вредно для почек. Последствия могут дать о себе знать позднее.",Neutral
"Эх... всем этого хочется( в любом городе России: поправить экологию, больше скверов и парков. А пока только все вырубают под застройку и стоянки.
Очень понравилось как написано про Кемерово. Прямо с душой и любовью.",Neutral
"столько геморроя ради 600$, жаль нет подсчета сколько вы потеряли денег пока делали это все.",Negative
"Языкам и раньше на отвали учили и тем кто хотел разговаривать приходилось учиться дополнительно, а сейчас это и вовсе противоречит генеральной линии партии. Ну, по крайней мере ""вражеские"" европейские языки.",Negative
"Не глажу бельё уже много лет
Во-первых, не ношу одежду таких фасонов и из таких тканей, которые этого требуют
Во-вторых, во время сушки оно всё и так хорошо разглаживается
Зато узнала из статьи, что 8к для утюга — это невысокая цена О_о",Neutral
"Очень интересный пост, спасибо за подробный рассказ) Мечтаю посетить США как турист)",Positive
"Просто смеха ради запомните сейчас курс доллара. Переведите в уме ваши деньги в них и потом через 6 месяцев, сделайте обратно. Вероятно это будет выгоднее.",Neutral
"Если компании работают в одном направлении, то может быть так, что люди знакомы (или HR), по этому они в обход вас пошли собирать данные и вот так и расскрылась информация. Но я бы все-таки смотрела в сторону неразглашения персональных данных.
Вообще конечно ""красавцы""..",Positive
"Звучит интересно, классный опыт по открытию бизнеса, интересно сработает ли, что-то похожее сейчас?",Positive
"Мне кажется, тут нет универсальных рецептов. Кому-то спокойная однообразная жизнь в кайф, и не нужны никакие спонтанные происшествия или не дай бог путешествия. А кто-то рутиной тяготится, нужен постоянный движ.",Neutral
"Главное - приходите на выборы, здравомыслящих людей на самом деле больше чем кажется",Positive
"В моем родном городе за мат капитал однушку купить можно. Помощь бедным. Одинокая молодая безденежная мать будет очень рада) Питер и Москва в пролете, но они и так живут лучше и зарплаты больше и льгот больше",Neutral
"Добрый день, может подскажете, оформлена по уходу за человеком старше 80 лет. Возможно по закону оформить в соц защите пособия своего ребёнка??? В соц говорят, что нет. Должны работать.",Neutral
"Молодцы!😉 Видна ДУША,в том что они делают.Удачи им и процветания 💪",Positive
"Так прихожая преобразилась, как будто больше стала! А дверь в гостиной есть?",Positive
"Какие, на ваш взгляд, наиболее благоприятные страны для переезда, адаптации и жизни  русскому человеку?",Neutral
"Ну, не совсем. С настоящим друзьями ты не тратишь или почти не тратишь сил на общение из-за отсутствия лицемерия, необходимости в обдумывании своих слов и т.д",Neutral
"Соломошка-огонек прячется от пылесоса.2года назад забрали его по об'явлению, в ""добрые руки"", в возрасте 1,5мес.",Neutral
"Будет ли учтена площадь при определении нуждаемости, если членам семьи из трех человек принадлежит по одной третьей доле в жилом доме?",Neutral
Новость о том что в России больше никогда не будет правительства.,Neutral
"Статья-  я ухаживала за бабушкой. Выводы- никаких кредитов. Чувствуется, что автор человек искусства. 
Родственники у Вас автор, так себе. Как ухаживать за бабушкой - так Вы, а как наследство- так им  Как Ваши родители, мама это допустили?",Neutral
"Ведь никто не отследит, если одно частное лицо оплачивает другому услугу наличными больше 1000 евро. Непонятно, как это работает",Negative
"Блин, автор, ваша детская наивность настолько обезоруживающая! :)) 
По каждому пункту могу прокомментировать, но делать это, конечно, не буду.",Positive
"Chrysler PT Cruiser , внешне уродский. Уже когда первый раз увидела надо было бежать. А на чем Папа ездит ?!",Negative
"Добавьте белка на завтрак, после него не тянет на сладкое. Те же сырники - показательный пример. Можно ещё взять протеиновые вкусняхи вроде пудингов или батончиков/печенек, тоже помогает обмануть мозг.",Positive
"А вот такой вопрос - мне надо в Сербию, но проехать транзитом, например - Польша  Венгрия ( не летаю). Я так поняла, что подавать можно в Венгерский визовый отдел. И если у меня приглашение из Сербии от дочери, у неё ВНЖ в Сербии. Насколько реально получить транзитную визу",Neutral
"Зачем инвестировать в акции компаний и регистрировать ИИС, платить налоги? Чтобы получить 20% прибыли в год, когда можно просто купить криптоактив и подождать 200-300% рост?",Neutral
"Класс 👍За свои деньги лучший и даже больше. Брал на старте и не пожалел. И ещё огромный + Tecno, отсутствие вшитой рекламы, что кстати мало кто из обзорщиков упоминает.",Positive
"Детские статьи неуместны , админы сделайте возрастные ограничения наконец или фильтруйте тексты",Negative
"Хорошая статья, полезная, спасибо.
А комментарии типа ""обворовала работодателя"" пишут люди, которые никогда не были на месте работника, которого сокращают, или которые опасаются, что у них могут появиться такие умные работники и им придется все выплатить по закону, чего они делать не планировали.",Positive
"В Тбилиси на станции Самгори есть большой базар, там же огромную часть занимает блошиный рынок

Приезжайте в выходные в середине дня, думаю найдете для себя много интересных вещей 😌",Positive
"Спасибо за статью, очень полезная информация.
У меня нескромный вопрос: какой у вас чистый доход?",Positive
А судится не пробовали? И что за производитель? (Чтобы знать к кому НЕ обращаться),Neutral
"Надо было сразу старую черную бэху или мерс брать из-под четкого поцика, впечатлений было бы в раз больше.",Negative
"""взрослых людей невозможно заставить что-либо делать или перестать что-либо делать"" - какая милая иллюзия, можно и даже в Швеции 😉",Positive
"0 рублей 0 копеек
на самомделе лохотрон для начинающих
на Эльбрус надо совершать восхождение осознанно
а не как немцы в 45 м",Negative
"оптимальный выбор хуавей ухахахаха да я бы хуавей даже врагу своему не пожелал, хуавей без гугл сервисов в россии покупают ток энтузиасты которым нравится создавать себе проблемы и люди не разбирающиеся в технике, которым это врапивают алчные продавцы на подсосе у хуавея типо ТЖ",Negative
"Странно, что нет в подборке By the Fireplace Maison Martin Margiela. Этот аромат буквально запах костра или тлеющего дерева в камине. Вызывает желание надеть зимний ugly свитер, теплые носки, взять книгу и засесть у домашнего камина на даче",Negative
"По зарплате-то вас обманули? В чем разница между возвратами и сборкой заказов? И чем обусловлено требование сдачи телефона?
Про полиграф и так понятно, что какая-то лютая дичь и, в целом, незаконное мероприятие, поскольку близко к функциональной диагностике и проходит под мед.услуги...",Negative
"Ахахаха еще одна с головой не дрожащая, В Мурино пожила )) бывает же такие глупые девки)",Negative
Intel 13700kf+MSI Z790 Edge Ddr5+Msi rtx 4090 gaming x +gskill trident 7200 32gb ddr5+seasonic 750 focus gold(хотя его маловато)+корпус Fractal Design meshify 2 +сво arctic liquid freezer 360 вот это шикарно,Positive
"В запой надо бы по уму. На месяц.
А вообще, блочу в новостной ленте российские каналы. Регнум - в кильватер  военного корабля. Лента - за эскадрой...
Как-то так.",Neutral
">70мг
Земля пухом братишка.
Как ЭТО можно парить я вообще не представляю.",Neutral
"Я постоянно их подкалываю. На один из звонков, я им сообщила,что меня зовут Адольф. Мошенник впал в ступор.",Negative
Я хочу получить премию которую заработал за текущий год. Не больше не меньше.,Neutral
"Не слепоглухие, а люди, кому жить особо негде и не на что. Зачем такие рожали, тоже вопрос, но в случае полного самообеспечения требовать льгот как-то тоже... вы же для себя рожаете, вас не просили )))))",Negative
"Образование вообще лучше в регионе. Там люди реально за идею. 
В Москве за деньгами. 
Москва это 10% населения от России! 
Я до сих пор не могу представить на сколько это много в рамках одного города. 
Учится в регионе, работать в Москве.",Neutral
"Товарищи, январь 2021, Мск, водитель в развалочку 50-60к. /мес., особые трудоголики до 100.",Neutral
"интересная экскурсия, будучи студентом МИИТа бывал там на даче у преподавателя. Добирались на автобус от остановки метро тушино в сторону Красногорска",Positive
Если человек говорит что влюблен сразу в двоих - он не любит никого.,Negative
"Здравствуйте!
Купили дом в ипотеку. Ипотека оформлена на меня, муж давал согласие на покупку и оформление кредита, то есть он не созаемщик. Я самозанятая, на вычеты не претендую. 
Может ли муж претендовать на вычет по уплаченным процентам?",Neutral
"Если ваш сын уже достаточного возраста, то можно его отселить, не дожидаясь, когда он сам решит ;)",Neutral
"Да никакого, одежда - мелочи, ушли и ушли, повод найти что-то новое. Больше переживательно за медицину, производства, полупроводники и пр.
Бонус - изучил какие есть китайские спортивные топ-бренды, пока доступные на Али, но, надеюсь, и у нас появятся: Li-Ning, 361°, Peak, Onemix, BMAI, Xtep.",Neutral
"Хорошая практика! Правда, сам я на подобные мелочи тратить время не хочу.

И жизненный опыт показал, что пока экономишь относительные копейки — легко упустить или пр*****ь многие тысячи(",Positive
"Вопрос: есть магазины, где на продукции собственного производства не указан ни состав, ни калорийность. Что в таких случаях предпринимать и как вообще это допустимо, я не пойму?",Negative
"О, так у нас всё же существует в каком-то виде микроэлектроника. Подскажите, как специалист, у России есть будущее в этом направлении?) Специальность зачетная, однозначно.",Positive
"Часы- вот что показывает статус. Я могу быть в дешёвых джинсах и футболке, но мои часы стоят как ваша тачка... Среди понтов и брэндов мало хорошего, брать надо то что нравится, а не то что дорого стоит.",Neutral
"Потратил бы деньги на то , чтобы ,, опустить ,, зажравшуюся власть - правительство и депутатов , до уровня нищеты.",Negative
Я безработный. Проиграл за декабрь-янаарь 5 млн рублей. Деньги были чужие. Пришел сюда с яндекса по одноименному запросу. За 25 лет игрового стажа проиграл примерно 2 млн долларов в эквиваленте. Мысли повесится.,Negative
"Это шоколадный торт, но не Прага по ГОСТУ. Вкус не тот",Negative
"Да, да бывшие студни знают где хотят жить, умеют подбирать квартиры и имеют достаточно высокую зп и первоначальный взнос для ипотеки. Cool story.
Полностью поддерживаю ипотеку. Ведь, чем больше ипотечников, тем быстрее будут расти акции банков",Positive
"Спасибо Вам за отзыв, если не сложно напишите как сейчас все проходит? Крепкого здоровья",Positive
"С таким эмоциональным состоянием я бы и собаку не советовала заводить, а вы об эмиграции и детях. Жуть.",Negative
"> Даже я, не москвичка, была наслышана про район

Да все наслышали про этот район, ведь там она работала в бутике в Бирюлево, пока ее парень не выкинул с работы",Negative
Посоветовала бы редакции журнала (дабы не дискредитировать себя) тщательнее проверять содержание статей . Ведь это же полный бред и инсинуация!,Negative.
"Оплачиваю с марта через бота в телеге. Все устраивает, достаточно быстро пополняю + напоминают о продлении",Positive
"Здравствуйте! Я работаю официально в детском саду! Есть 2,е детей, муж работает не официально. Средне душевой доход меньше, а мне пришёл отказ, я кобы среднедушевой  доход превышает! При расчёте дохода берут полностью все поступления на карту?",Neutral
"Люблю рынок, очень!
Мясо, овощи, фрукты, зелень покупаем только на рынке. Ну не будет в магазине так же вкусно, ну никак и никогда. А на рынке, чтобы не страдать, достаточно найти пару ""своих"" продавцов, к которым будете всегда ходить и которым будете доверять - и жизнь наладится.",Positive
"Добрый день, я бы хотел издать свою книгу, которую сейчас пишу. Это художественное произведение о современном человеке.",Neutral
"Елоу Бэй обойдётся гораздо дороже. И там скучно.
Еще рекомендую горячие источники (старые), остров обезьян и храм трехликой будихи.
А еще Китайский балет. Это прям вау!",Negative
"Поседевший шоколад может быть и не в просроченных конфетах, от несоблюдения температурного режима хранения",Neutral
"Гранулы от Раптор помогают. Если на садовом участке - то, рассыпать гранулы по участку, в тех местах, где вы видели муравьев. Если дома - сделать раствор из этих гранул и обработать им в местах появления муравьев. Помогает всегда.",Positive
"Я понимаю, что вы хотели быть честной и рассказали очень интимный момент про ситуацию с подругой, вы смелая! Но читают то вас эти самые «нелучшие люди» у которых эмоциональной связи с вами нет, как у вашей подруги. Каких комментариев вы ожидаете?",Neutral
"А я за 3 месяца после родов похудела на 15 кг, ела кролика и гречку и больше ничего. Сейчас если начинаю поправляться то ем гречку,в фитнес тоже хожу, но без фанатизма.",Positive
"Подскажите, если пополнить через посредника кошелек в рублях, игру можно будет купить? или для России покупка игр тоже запрещена и нужно менять страну в стиме?",Neutral
"Путилково дно редкостное, гетточеловейник, проблема не то что с парковкой а с проездом к дому. Всё в машинах, автолюбители кидают свои колесницы как попало! Никому не советую покупать там квартиру.",Negative
"Про копить деньги и вообще правильно с ними обращаться, рекомендую книгу ""Самый богатый человек в Вавилоне"".",Neutral
"Применили дисциплинарное взыскание,получила приказ на руки,а потом работодатель передумал и уволил одним днем.Судилась,суд восстановил ,но работодатель предупредил,что работать будет очень, очень трудно.Уволилась по собственному желанию.Три года не могу найти работу, работодатель предусмотрено внёс меня в черный список работников.",Negative
"С большим удовольствием прочитала дневник, такое приятное впечатление. Кажется, вы тёплый и мудрый человек.

Как вам Уфа?",Positive
"Что-то посмотрела видео-подборки стрейт- и альт-контента, и кроме внешнего вида никакой же разницы нет, суть контента одинаковая 🤷‍♀️",Negative
"Если честно не понимаю для кого делают такие разборы, дали бы мне на выбор 2-3 модели посмотреть или просто тыкнули пальцев вот этот лучше, потому и потому",Negative
"Все сторонние боты очень опасны с точки зрения защиты персональных данных, т.к. их создатели имеют доступ к вашей переписке",Negative
"Отличный обзор! Спасибо! Хорошо бы такой подобный обзор почитать по текстовым нейросетям (чатботы) , по работе с текстами.",Positive
"Ольга, здравствуйте. Спасибо за отличную статью! Правильно ли я понял, что апостилирование диплома необходимо проводить только тем, кто заканчивал специалитет? У меня диплом бакалавра.",Positive
"Молодчина, очень внятный, правдивый и интересный рассказ. Да и город родной (по паспорту). Удачи в дальнейшем движении!",Positive
"После рождения внуков , тоже увлеклась вязанием. Стала вязать одежду внукам и игрушки. Вечерами под хороший фильм.",Positive
"Есть такие грибы эноки, они ещё называются «see you tomorrow». Очень вкусные и полностью оправдывают своё название",Positive
"Родила в 37, всю беременность за рулём, поиск и покупка квартиры. Вечером поставила - утром а роддомом. Занятие йогой, бассейн, фитнес",Neutral
"Если бы вы в Яндекс коммуникациях с такой отдачей работали, поддержка Яндекс Го не была бы такой бесполезной и раздражающей",Negative
"Сижу читаю эту статью на паре по обработке сейсмических данных, 1 курс маги. Практически идентичная история, что и у автора, пока планирую пробоваться в бэкенд",Neutral
"Смотрим друзья с англ субтитрами .. 
сериал смешной и все еще актуален, но такой перевод что часть шуток потеряла смысл из-за перевода, прям обидно
смотрите в оригинале у актеров почти всегда голоса лучше",Neutral
"Добрый вечер Хотелось бы уточнить при подаче заявления на детское пособие в 2023 году,кокой прожиточный минимум будут брать за 2022 или по новому  как за 2023год?",Neutral
"Я тоже туда вкладывал, накопил что то около 1000-1200 долларов, и мне нужны были деньги на покупку авто, вывел, через несколько месяцев все соскамилось, теперь у меня есть правило периодически выводить прибыль и радовать себя :)",Neutral
"Мой совет - идите в повара - кулинары,уже в 20 лет Вы получите  одну из самых востребованных на рынке труда профессий, стопроцентную гарантию трудоустройства , хорошие карьерные перспективы и Вам будут рады в любой точке земного шара !",Positive
"К сожалению, работодатель сейчас может вести себя как хочет. И если вы не 24 летний it с опытом 25 лет и портфолио в Эппл с 1896 года, то нужно принимать правила игры и приспосабливаться. Особенно, если 40 исполнилось еще при долларе по 30",Negative
"Классная статья! Как успехи в бизнесе? Тоже хочу открыть подобное заведение в Москве, но с философией здорового питания",Positive
"Добрый день! Купила квартиру, сдаю её юр.лицу по договору. За покупку квартиры получаю налоговый вычет. По договору аренды арендатор подоходный налог перечисляет в налоговый орган самостоятельно. Могу ли я вернуть налог перечисленный арендатором с помощью имущественного вычета при покупке квартиры? И как это правильно сделать ? Спасибо .",Neutral
"Как раз записалась в наблюдатели на сентябрьские выборы. Спасибо за статью, актуально",Positive
"Делаю немного - сортирую мусор, использую пакеты и мешочки многоразово и использую губку из люффы, потому что сама мысль мыть посуду кабачком меня веселит 😁

Еще мое веганство, из за того же животноводства, вносит вклад в экологию, но причины моего такого образа жизни связаны с другими вещами.",Positive
